ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Acadia NP,ACAD,National Park,Northeast ,ME,2020,1,"12,640",600,"83,421",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2020,"2,669,034","47,100","14,264,234","47,100",0,307,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2020,2,"13,459",600,"88,831",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2020,"2,669,034","47,100","14,264,234","47,100",0,307,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2020,3,"28,539",600,"188,356",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2020,"2,669,034","47,100","14,264,234","47,100",0,307,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2020,4,"55,713",600,"323,135",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2020,"2,669,034","47,100","14,264,234","47,100",0,307,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2020,5,"103,120","7,500","598,096","7,500",0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2020,"2,669,034","47,100","14,264,234","47,100",0,307,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2020,6,"201,156","7,500","1,165,036","7,500",0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2020,"2,669,034","47,100","14,264,234","47,100",0,307,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2020,7,"493,971","7,500","2,470,139","7,500",0,307,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2020,"2,669,034","47,100","14,264,234","47,100",0,307,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2020,8,"681,746","7,500","3,395,169","7,500",0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2020,"2,669,034","47,100","14,264,234","47,100",0,307,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2020,9,"500,320","7,500","2,492,205","7,500",0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2020,"2,669,034","47,100","14,264,234","47,100",0,307,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2020,10,"480,859","6,000","2,874,780","6,000",0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2020,"2,669,034","47,100","14,264,234","47,100",0,307,0,0,0,0,0
