species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_genus_name,taxon_species_name
Bighorn Sheep,Ovis canadensis,Bighorn Sheep,Mammalia,42391,Ovis,Ovis canadensis
Moose,Alces alces,Moose,Mammalia,522193,Alces,Alces alces
Common Seal,Phoca vitulina,Harbor Seal,Mammalia,41708,Phoca,Phoca vitulina
Hilton Head Island Deer,Odocoileus virginianus hiltonensis,Hilton Head Island Deer,Mammalia,510247,Odocoileus,Odocoileus virginianus
Bighorn Sheep,Ovis canadensis,Bighorn Sheep,Mammalia,42391,Ovis,Ovis canadensis
Moose,Alces alces,Moose,Mammalia,522193,Alces,Alces alces
Moose,Alces alces,Moose,Mammalia,522193,Alces,Alces alces
Tapir Centroamericano,Tapirus bairdii,Baird's Tapir,Mammalia,43355,Tapirus,Tapirus bairdii
Moose,Alces alces,Moose,Mammalia,522193,Alces,Alces alces
Ours Noir,Ursus americanus,American Black Bear,Mammalia,41638,Ursus,Ursus americanus
White-tailed Deer,Odocoileus virginianus,White-tailed Deer,Mammalia,42223,Odocoileus,Odocoileus virginianus
Mule Deer,Odocoileus hemionus,Mule Deer,Mammalia,42220,Odocoileus,Odocoileus hemionus
American Elk,Cervus canadensis canadensis,American Elk,Mammalia,564777,Cervus,Cervus canadensis
West Indian Manatee,Trichechus manatus,West Indian Manatee,Mammalia,46316,Trichechus,Trichechus manatus
Common Seal,Phoca vitulina,Harbor Seal,Mammalia,41708,Phoca,Phoca vitulina
Jaguar,Panthera onca,Jaguar,Mammalia,41970,Panthera,Panthera onca
Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048,Canis,Canis lupus
American Bison,Bison bison,American Bison,Mammalia,42408,Bison,Bison bison
Harbor Seal,Phoca vitulina,Harbor Seal,Mammalia,41708,Phoca,Phoca vitulina
Harp Seal,Pagophilus groenlandicus,Harp Seal,Mammalia,41702,Pagophilus,Pagophilus groenlandicus
Common Seal,Phoca vitulina,Harbor Seal,Mammalia,41708,Phoca,Phoca vitulina
Wild Boar,Sus scrofa,Wild Boar,Mammalia,42134,Sus,Sus scrofa
Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048,Canis,Canis lupus
Grizzly Bear,Ursus arctos horribilis,Grizzly Bear,Mammalia,125461,Ursus,Ursus arctos
American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Ursus,Ursus americanus
Bighorn Sheep,Ovis canadensis,Bighorn Sheep,Mammalia,42391,Ovis,Ovis canadensis
White-tailed Deer,Odocoileus virginianus,White-tailed Deer,Mammalia,42223,Odocoileus,Odocoileus virginianus
Tapir Centroamericano,Tapirus bairdii,Baird's Tapir,Mammalia,43355,Tapirus,Tapirus bairdii
Atlantic Grey Seal,Halichoerus grypus atlantica,Atlantic Grey Seal,Mammalia,711289,Halichoerus,Halichoerus grypus
american black bear,Ursus americanus,American Black Bear,Mammalia,41638,Ursus,Ursus americanus
North American Mountain Lion,Puma concolor couguar,North American Mountain Lion,Mammalia,143589,Puma,Puma concolor
Caribou,Rangifer tarandus,Caribou,Mammalia,42199,Rangifer,Rangifer tarandus
Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048,Canis,Canis lupus
Common Seal,Phoca vitulina,Harbor Seal,Mammalia,41708,Phoca,Phoca vitulina
Northern Elephant Seal,Mirounga angustirostris,Northern Elephant Seal,Mammalia,41728,Mirounga,Mirounga angustirostris
Muskox,Ovibos moschatus,Muskox,Mammalia,42412,Ovibos,Ovibos moschatus
Steller Sea Lion,Eumetopias jubatus,Steller Sea Lion,Mammalia,41755,Eumetopias,Eumetopias jubatus
White-tailed Deer,Odocoileus virginianus,White-tailed Deer,Mammalia,42223,Odocoileus,Odocoileus virginianus
Pronghorn,Antilocapra americana,Pronghorn,Mammalia,42429,Antilocapra,Antilocapra americana
British Columbia Wolf,Canis lupus crassodon,Coastal Wolf,Mammalia,547190,Canis,Canis lupus
Florida Manatee,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Trichechus,Trichechus manatus
West Indian Manatee,Trichechus manatus,West Indian Manatee,Mammalia,46316,Trichechus,Trichechus manatus
Capibara menor,Hydrochoerus isthmius,Lesser Capybara,Mammalia,74443,Hydrochoerus,Hydrochoerus isthmius
Bighorn Sheep,Ovis canadensis,Bighorn Sheep,Mammalia,42391,Ovis,Ovis canadensis
Cheval,Equus caballus,Domestic Horse,Mammalia,209233,Equus,Equus caballus
Brown Bear,Ursus arctos,Brown Bear,Mammalia,41641,Ursus,Ursus arctos
Brown Bear,Ursus arctos,Brown Bear,Mammalia,41641,Ursus,Ursus arctos
Moose,Alces alces,Moose,Mammalia,522193,Alces,Alces alces
Moose,Alces alces,Moose,Mammalia,522193,Alces,Alces alces
Moose,Alces alces,Moose,Mammalia,522193,Alces,Alces alces
Mountain Goat,Oreamnos americanus,Mountain Goat,Mammalia,42414,Oreamnos,Oreamnos americanus
Mule Deer,Odocoileus hemionus,Mule Deer,Mammalia,42220,Odocoileus,Odocoileus hemionus
Muskox,Ovibos moschatus,Muskox,Mammalia,42412,Ovibos,Ovibos moschatus
American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Ursus,Ursus americanus
Capibara menor,Hydrochoerus isthmius,Lesser Capybara,Mammalia,74443,Hydrochoerus,Hydrochoerus isthmius
Wild Pig,Sus scrofa,Wild Boar,Mammalia,42134,Sus,Sus scrofa
Gemsbok,Oryx gazella,Gemsbok,Mammalia,42308,Oryx,Oryx gazella
Pronghorn,Antilocapra americana,Pronghorn,Mammalia,42429,Antilocapra,Antilocapra americana
Jaguar,Panthera onca,Jaguar,Mammalia,41970,Panthera,Panthera onca
Jaguar,Panthera onca,Jaguar,Mammalia,41970,Panthera,Panthera onca
Cervus,Cervus,,Mammalia,42205,Cervus,
Mule Deer,Odocoileus hemionus,Mule Deer,Mammalia,42220,Odocoileus,Odocoileus hemionus
Mountain Lion,Puma concolor,Mountain Lion,Mammalia,42007,Puma,Puma concolor
Mountain Lion,Puma concolor,Mountain Lion,Mammalia,42007,Puma,Puma concolor
