Park,observed_on,mammal_count,num_mammals_observed,Alces alces,Antilocapra americana,Bison bison,Ursus americanus,Ursus arctos,Cervus canadensis,Canis lupus,Procyon lotor,Odocoileus virginianus,Odocoileus hemionus,ParkType,Region,State,RecreationVisits,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry
Acadia NP,2014-06,1,1,0,0,0,0,0,0,0,0,1,0,National Park,Northeast ,ME,338845,0,0,19848,4761,285
Acadia NP,2014-07,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,561073,0,0,35091,8349,341
Acadia NP,2014-08,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,638152,0,0,36438,8394,285
Acadia NP,2015-10,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,344362,0,0,8067,2481,84
Acadia NP,2015-11,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,48912,0,0,0,0,0
Acadia NP,2016-06,6,4,0,0,0,0,0,0,0,0,1,0,National Park,Northeast ,ME,445410,0,0,25488,7938,303
Acadia NP,2016-07,7,2,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,696854,0,0,39942,11757,353
Acadia NP,2016-08,3,2,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,735945,0,360,40557,11649,381
Acadia NP,2016-10,6,3,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,412416,0,0,12270,3219,0
Acadia NP,2017-06,2,2,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,476191,0,343,24372,9360,298
Acadia NP,2017-07,4,2,0,0,0,0,0,0,0,0,2,0,National Park,Northeast ,ME,743529,0,188,39429,12642,325
Acadia NP,2017-08,2,2,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,762436,0,368,39864,11874,336
Acadia NP,2017-09,2,2,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,595388,0,556,27054,13554,253
Acadia NP,2017-10,2,1,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,507594,0,102,10446,4974,87
Acadia NP,2017-11,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,53006,0,0,0,0,0
Acadia NP,2018-02,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,12167,0,0,0,0,0
Acadia NP,2018-05,1,1,0,0,0,0,0,0,0,0,1,0,National Park,Northeast ,ME,249050,0,25,11325,3912,126
Acadia NP,2018-06,12,7,0,0,0,0,0,0,0,1,2,0,National Park,Northeast ,ME,499163,0,296,25626,10479,323
Acadia NP,2018-07,8,5,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,759165,0,188,37218,12723,345
Acadia NP,2018-08,15,7,0,0,0,0,0,0,0,0,2,0,National Park,Northeast ,ME,767219,0,370,37923,12579,345
Acadia NP,2018-09,5,3,0,0,0,0,0,0,0,0,2,0,National Park,Northeast ,ME,600397,0,485,25128,14097,271
Acadia NP,2018-10,4,3,0,0,0,0,0,0,0,0,1,0,National Park,Northeast ,ME,488204,0,0,7524,4425,62
Acadia NP,2019-05,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,226156,0,4,10416,3327,0
Acadia NP,2019-06,7,5,0,0,0,0,0,0,0,0,1,0,National Park,Northeast ,ME,490720,0,102,23721,10383,263
Acadia NP,2019-07,10,6,0,0,0,0,0,0,0,0,1,0,National Park,Northeast ,ME,756439,0,117,36135,11853,357
Acadia NP,2019-08,7,4,0,0,0,0,0,0,0,1,3,0,National Park,Northeast ,ME,759735,0,242,39093,11637,396
Acadia NP,2019-09,6,4,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,603273,0,500,22425,15174,185
Acadia NP,2019-10,6,3,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,436194,0,125,9195,5322,83
Acadia NP,2019-12,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Northeast ,ME,12865,0,0,0,0,0
Arches NP,2014-08,1,1,0,1,0,0,0,0,0,0,0,0,National Park,Intermountain ,UT,173416,0,0,2265,1488,121
Arches NP,2014-10,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Intermountain ,UT,115545,0,0,2400,1572,108
Arches NP,2015-10,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Intermountain ,UT,115859,0,0,2570,2026,89
Arches NP,2016-03,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Intermountain ,UT,119122,0,0,2786,1674,314
Arches NP,2016-08,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Intermountain ,UT,188340,0,0,2946,2273,84
Arches NP,2016-10,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Intermountain ,UT,146250,0,0,2808,2150,0
Arches NP,2017-03,2,2,0,0,0,0,0,0,0,0,0,1,National Park,Intermountain ,UT,128508,0,0,0,0,6
Arches NP,2017-05,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Intermountain ,UT,188726,0,0,0,0,25
Arches NP,2017-08,1,1,0,0,0,0,0,0,0,0,0,0,National Park,Intermountain ,UT,177764,0,0,0,0,7
Arches NP,2017-09,2,2,0,0,0,0,0,0,0,0,0,0,National Park,Intermountain ,UT,187603,0,0,0,0,9
Arches NP,2018-01,2,2,0,0,0,0,0,0,0,0,0,1,National Park,Intermountain ,UT,31810,0,0,230,257,0
Arches NP,2018-04,2,2,0,0,0,0,0,0,0,0,0,0,National Park,Intermountain ,UT,167156,0,0,1631,2219,40
Arches NP,2018-08,1,1,0,0,0,0,0,0,0,0,0,1,National Park,Intermountain ,UT,183840,0,0,2060,1431,47
Arches NP,2018-09,1,1,0,0,0,0,0,0,0,0,0,1,National Park,Intermountain ,UT,206254,0,0,1334,1253,28
Arches NP,2018-10,6,4,0,0,0,0,0,0,0,0,0,2,National Park,Intermountain ,UT,147996,0,0,2618,2165,33
