,observed_on,place_guess,latitude,longitude,place_state_name,scientific_name,common_name,iconic_taxon_name,park,state,ParkName,Park
0,2008-08-08,"Yellowstone National Park, Park County, US-WY, US",44.81158504850001,-110.4813327912,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
1,2009-05-14,"Everglades National Park, Monroe County, US-FL, US",25.153938090900002,-80.8517896342,Florida,Trichechus manatus,West Indian Manatee,Mammalia,Everglades National Park,FL,Everglades ,Everglades NP
2,2009-06-08,"Kings Canyon/Sequoia National Park, NV, US",36.489654541,-118.7792892456,California,Odocoileus hemionus californicus,California Mule Deer,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
3,2009-06-08,"Kings Canyon/Sequoia National Park, NV, US",36.5200119019,-118.795425415,California,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
4,2010-04-11,"Kings Canyon/Sequoia National Park, NV, US",36.5244255066,-118.7514801025,California,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
7,2011-05-18,"Yellowstone National Park, US",44.893380836400006,-110.668622501,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
8,2011-05-19,"Yellowstone National Park, US-WY, US",44.524812548199996,-110.91275527139999,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
9,2011-03-18,"Death Valley National Park, Inyo County, US-CA, US",36.2717420509,-117.4932629296,California,Equus asinus,Donkey,Mammalia,Death Valley National Park,CA,Death Valley ,Death Valley NP
10,2006-08-08,"Grand Teton National Park, WY, US",43.6872393195,-110.6865692139,Wyoming,Castor canadensis,American Beaver,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
11,2011-06-28,"Yellowstone National Park, WY, US",44.924609999999994,-110.424103,Wyoming,Urocitellus armatus,Uinta Ground Squirrel,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
12,2011-06-28,"Yellowstone National Park, US",44.867427130699994,-110.5384660179,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
13,2011-06-28,"Yellowstone National Park, Park County, US-WY, US",44.7973429667,-110.79091986290001,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
14,2011-06-28,"Yellowstone National Park, WY, US",44.977191999999995,-110.699448,Wyoming,Cervus canadensis,Wapiti,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
15,2011-05-25,"Yellowstone National Park, Teton County, US-WY, US",44.404393592299996,-110.7256505284,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
16,2011-09-10,"US-20, Yellowstone National Park, WY  82190, , United States",44.4323806763,-110.5131759644,Wyoming,Alces alces,Moose,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
17,2011-08-12,"Yellowstone National Park, Park County, US-WY, US",44.665932591499995,-110.5663569897,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
18,2011-08-29,"Mount Rainier, Mount Rainier National Park, Pierce County, US-WA, US",46.797062853999996,-121.7270994186,Washington,Ochotona princeps,American Pika,Mammalia,Mount Rainier National Park,WA,Mount Rainier ,Mount Rainier NP
19,2011-08-08,"Redwood National Park, Del Norte County, US-CA, US",41.7207340092,-124.14589405059999,California,Cervus canadensis,Wapiti,Mammalia,Redwood National Park,CA,Redwood ,Redwood NP
20,2011-10-21,"Channel Islands National Park, Channel Islands, Santa Barbara County, UCNRS, US-CA, US",33.816213494,-119.6979402272,California,Urocyon littoralis,Island Fox,Mammalia,Channel Islands National Park,CA,Channel Islands ,Channel Islands NP
21,2010-08-15,"Yellowstone National Park, US",44.800281383199994,-110.02194106620001,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
22,2010-06-14,"Yellowstone National Park, Teton County, US-WY, US",44.5463588982,-110.7551745245,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
23,2011-09-06,"Yellowstone National Park, US",44.898360725,-110.3166899333,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
24,2011-12-21,"Everglades National Park, Monroe County, US-FL, US",25.189148888600002,-80.9790421108,Florida,Trichechus manatus,West Indian Manatee,Mammalia,Everglades National Park,FL,Everglades ,Everglades NP
25,2008-06-19,"Yellowstone National Park, US-WY, US",44.5796808028,-110.473757226,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
26,2008-06-19,"Yellowstone National Park, US-WY, US",44.5477222124,-110.46985132469999,Wyoming,Ovis canadensis,Bighorn Sheep,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
27,2008-06-19,"Yellowstone National Park, US-WY, US",44.534676625299994,-110.41004080280001,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
28,2008-06-04,"Yellowstone National Park, Park County, US-WY, US",44.7869400325,-110.5630686204,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
29,2010-06-07,"Yellowstone National Park, Park County, US-WY, US",44.705026338500005,-110.4215135812,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
30,2005-06-07,"Yellowstone National Park, Park County, US-WY, US",44.7115694049,-110.2072203107,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
31,2011-12-17,"Redwood National Park, Humboldt County, US-CA, US",41.350815747199995,-124.0292930603,California,Cervus canadensis roosevelti,Roosevelt Elk,Mammalia,Redwood National Park,CA,Redwood ,Redwood NP
32,2011-06-07,"Yellowstone National Park, Park County, US-WY, US",44.6525729067,-110.55008899040001,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
33,2003-06-03,"Yellowstone National Park, US-WY, US",44.5138644391,-110.29597089010001,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
34,2009-06-06,"Yellowstone National Park, Park County, US-WY, US",44.7574443691,-110.54418493440001,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
35,2010-06-06,"Yellowstone National Park, Park County, US-WY, US",44.7088745361,-110.5607425565,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
36,2006-06-11,"Yellowstone National Park, US-WY, US",44.5191748274,-110.43931277729999,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
37,2007-06-09,"Yellowstone National Park, Park County, US-WY, US",44.6217025472,-110.4241547298,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
38,2008-08-13,"Denali National Park, US-AK, US",63.173050503999995,-151.14664348510001,Alaska,Canis lupus,Gray Wolf,Mammalia,Denali National Park,AK,Denali ,Denali NP & PRES
39,2010-06-05,"Yellowstone National Park, US-WY, US",44.5666493244,-110.53350824360001,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
40,2010-06-10,"Yellowstone National Park, Park County, US-WY, US",44.6516419229,-110.28893517790002,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
41,2010-06-06,"Yellowstone National Park, US",44.9824309275,-110.4272649398,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
42,2011-06-10,"Yellowstone National Park, Park County, US-WY, US",44.7094386814,-110.539517316,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
43,2003-07-28,"Yellowstone National Park, WY, US",44.648417922600004,-110.93777418139999,Wyoming,Cervus canadensis,Wapiti,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
44,2009-05-28,"Grand Canyon, Grand Canyon National Park, Coconino County, US-AZ, US",36.0006365154,-112.0802698529,Arizona,Ovis canadensis,Bighorn Sheep,Mammalia,Grand Canyon National Park,AZ,Grand Canyon ,Grand Canyon NP
45,2011-03-27,"Grand Canyon, Grand Canyon National Park, Coconino County, US-AZ, US",36.054746,-112.141989,Arizona,Cervus canadensis,Wapiti,Mammalia,Grand Canyon National Park,AZ,Grand Canyon ,Grand Canyon NP
46,2012-05-10,"Yellowstone National Park, Park County, US-WY, US",44.6038486192,-110.621234261,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
47,2012-05-10,"Yellowstone National Park, Teton County, US-WY, US",44.6601064421,-110.95573425290002,Wyoming,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
48,2012-05-10,"Yellowstone National Park, Park County, US-WY, US",44.989569904899994,-110.69549560549999,Wyoming,Cervus canadensis,Wapiti,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
49,2012-05-08,"Yellowstone National Park, Park County, US-WY, US",44.9140062393,-110.35766601559999,Wyoming,Taxidea taxus,American Badger,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
50,2012-05-14,"Mount Rainier National Park, Buckley, Washington, US",46.86027,-121.704899,Washington,Marmota caligata,Hoary Marmot,Mammalia,Mount Rainier National Park,WA,Mount Rainier ,Mount Rainier NP
51,2012-05-06,"Yellowstone National Park, US",44.617463699300004,-110.9167513828,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
52,2012-05-04,"Yellowstone National Park, Park County, US-WY, US",44.957752964099996,-110.60417175290002,Wyoming,Ursus americanus,American Black Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
53,2012-05-03,"Yellowstone National Park, US",44.901119853400004,-110.74050871760001,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
54,2012-05-04,"Yellowstone National Park, US",44.727880013500005,-110.93737465219999,Wyoming,Ursus arctos horribilis,Grizzly Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
55,2012-05-10,"Yellowstone National Park, Park County, US-WY, US",44.9400152541,-110.7188415527,Wyoming,Canis latrans,Coyote,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
56,2012-05-02,"Yellowstone National Park, Teton County, US-WY, US",44.6559548643,-110.7669067383,Wyoming,Ursus americanus,American Black Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
57,2012-05-25,"Yosemite National Park, Tuolumne County, US-CA, US",38.02045543,-119.71657239,California,Odocoileus hemionus,Mule Deer,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
58,2012-05-24,"Yosemite National Park, Tuolumne County, US-CA, US",38.00726937,-119.74565696,California,Odocoileus hemionus,Mule Deer,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
59,2012-06-10,"Yellowstone National Park, US",44.872891015,-110.3750767974,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
60,2012-06-26,"Denali National Park, Denali County, US-AK, US",63.734149089,-149.4479699263,Alaska,Rangifer tarandus,Caribou,Mammalia,Denali National Park,AK,Denali ,Denali NP & PRES
61,2012-07-15,"Yellowstone National Park, Teton County, US-WY, US",44.4948428333,-110.6031138721,Wyoming,Canis lupus,Gray Wolf,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
62,2011-08-31,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.3155465373,-105.67161083219999,Colorado,Ochotona princeps,American Pika,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
63,2011-08-31,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.3155465373,-105.67161083219999,Colorado,Ochotona princeps,American Pika,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
64,2012-07-20,"Yellowstone National Park, Teton County, US-WY, US",44.457632186400005,-110.52828275120001,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
65,2009-07-10,"Grand Teton National Park, Teton County, US-WY, US",43.790583081,-110.8414077759,Wyoming,Ochotona princeps,American Pika,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
67,2012-08-12,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Grand County, US-CO, US",40.424862,-105.850549,Colorado,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
68,2012-08-12,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Grand County, US-CO, US",40.45487,-105.848685,Colorado,Callospermophilus lateralis,Golden-mantled Ground Squirrel,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
